AREA,PERIMETER,CODCOMP,DEPTO,LOCALIDAD,SECCION,SEGMENTO,ZONA,CCZ,ASENTA,TOT_VIV,VIV_PAR,VIV_CO,VP_OCUPAD,VP_DESO,HOG_PAR,TOT_POB,CAT_POB,ED_0_5,ED_6_14,ED_15_24,ED_25_64,ED_65,CODSEG,CODSEC,CENTROIDE_LAT,CENTROIDE_LONG,CENT_X_SEGUN_ARCH,CENT_Y_SEGUN_ARCH
10488.643289,461.473148,113352001,1,20,13,352,1,17,SI,26,26,0,24,2,25,77,3,5,13,16,31,12,113352,113,-34.874182534,-56.274373935,566316.3914349583,6140669.353388103
5691.468750,302.221683,113027008,1,20,13,27,8,17,NO,16,16,0,14,2,14,37,2,2,2,3,18,12,113027,113,-34.8737802193,-56.2537423985,568202.317078092,6140700.1199235665
4712.830400,287.363481,113031010,1,20,13,31,10,17,SI,14,14,0,14,0,14,55,3,8,13,10,21,3,113031,113,-34.8736840751,-56.2608569385,567552.1677617384,6140715.601551079
7979.848648,429.010757,113027010,1,20,13,27,10,17,NO,20,20,0,20,0,20,53,3,3,5,4,30,11,113027,113,-34.8741320276,-56.2542613349,568154.5989056036,6140661.4584753215
8124.195313,415.120406,113252012,1,20,13,252,12,17,NO,18,18,0,18,0,18,50,3,1,8,12,23,6,113252,113,-34.8737856092,-56.268094505,566890.6132504654,6140709.197182295
10542.472029,413.261821,113027003,1,20,13,27,3,17,NO,26,26,0,26,0,26,79,3,0,4,14,40,21,113027,113,-34.8741851441,-56.2551995936,568068.8040278379,6140656.205806871
6101.550607,319.282594,113030005,1,20,13,30,5,17,NO,32,32,0,28,4,29,103,4,13,10,21,47,12,113030,113,-34.8741106851,-56.2473806534,568783.4689698128,6140659.123525106
51949.141934,1100.033646,113352035,1,20,13,352,35,17,NO,43,43,0,40,3,42,166,4,14,30,22,86,14,113352,113,-34.8743733562,-56.2778222007,566001.0893004043,6140650.468578482
12404.992188,447.497602,113030004,1,20,13,30,4,17,NO,46,46,0,34,12,35,109,4,7,18,18,50,16,113030,113,-34.8742410428,-56.2483973207,568690.4433026857,6140645.364658637
22551.476563,655.008806,113031004,1,20,13,31,4,17,NO,52,51,1,45,6,46,155,4,12,17,20,72,34,113031,113,-34.874854745,-56.2638380163,567278.7604278806,6140587.783361082
12013.854525,439.491593,113026005,1,20,13,26,5,17,NO,26,26,0,26,0,26,87,3,5,12,12,45,13,113026,113,-34.87432867,-56.2562633297,567971.4670011795,6140641.011309899
10301.437500,405.722742,113029008,1,20,13,29,8,17,NO,35,35,0,30,5,30,83,3,5,9,11,50,8,113029,113,-34.8744055557,-56.2496199523,568578.5657376819,6140627.958118822
21084.859844,604.542265,113026002,1,20,13,26,2,17,NO,59,59,0,57,2,57,192,4,14,29,28,101,20,113026,113,-34.8745471377,-56.2578832466,567823.2374750476,6140617.881566753
10764.500000,537.150390,113252013,1,20,13,252,13,17,NO,33,33,0,31,2,32,127,4,7,22,25,56,17,113252,113,-34.8742535753,-56.2681794495,566882.4707955457,6140657.357829692
3906.685221,294.536385,113252037,1,20,13,252,37,17,SI,13,13,0,13,0,14,44,2,2,5,8,20,9,113252,113,-34.874563436,-56.2709497742,566629.0307567196,6140624.840878098
10187.554688,403.707896,113029007,1,20,13,29,7,17,NO,18,18,0,8,10,8,23,2,3,4,2,12,2,113029,113,-34.8745541549,-56.2507108608,568478.7404552881,6140612.224986735
