GID,COD_RECORRIDO,NRO_SERIE,MATERIAL,CAPACIDAD,POINT,DEMANDA_POBLACION,DEMANDA
22063,CH_DU_RM_CL_07,CH_07_82,Metal,2400,"-34.90680061720211,-56.1424527394599",142.727248776419,4.8043684131
22064,CH_DU_RM_CL_01,CH_01_61,Metal,2400,"-34.9227093577518,-56.15949577167962",85.5537640671595,8.0150101307
22066,F_DU_RM_CL_04,F_04_52,Plastico,3200,"-34.848659736845974,-56.14797820663187",75.0787070765355,12.1776965785
22067,F_DU_RM_CL_04,F_04_51,Plastico,3200,"-34.84844248629781,-56.147892845054415",76.1154025886577,12.0118357545
22069,A_DU_RM_CL_09,A_09_2,Metal,2400,"-34.845841019212905,-56.2361514284783",59.5031519045788,11.523999381
22071,A_DU_RM_CL_09,A_09_4,Metal,2400,"-34.84462535505753,-56.23835389925766",71.3101231707318,9.6159458885
22073,A_DU_RM_CL_09,A_09_6,Metal,2400,"-34.843925633078186,-56.23940421598131",98.8019047463201,6.9402941925
22074,A_DU_RM_CL_09,A_09_7,Metal,2400,"-34.8419548598007,-56.23783817545318",84.6085321481707,8.1045524406
22076,A_DU_RM_CL_09,A_09_9,Metal,2400,"-34.84464174182966,-56.23667654962331",160.829843266322,4.2636010319
22077,A_DU_RM_CL_09,A_09_10,Metal,2400,"-34.8428285510109,-56.24156945459429",110.390735815251,6.2117013774
22079,A_DU_RM_CL_09,A_09_12,Metal,2400,"-34.84027616472103,-56.24602986518004",69.0672301256696,9.9282146463
22080,A_DU_RM_CL_09,A_09_13,Metal,2400,"-34.83888010557866,-56.24706872199405",93.4720043833843,7.3360391728
22081,A_DU_RM_CL_09,A_09_14,Metal,2400,"-34.839195218105566,-56.2453664621626",81.1781262226699,8.4470326875
22082,A_DU_RM_CL_09,A_09_15,Metal,2400,"-34.839873586649446,-56.24431981103555",107.019856853036,6.4073556616
22083,A_DU_RM_CL_09,A_09_16,Metal,2400,"-34.84021401111579,-56.24299128688569",105.79207092173,6.4817172
22084,A_DU_RM_CL_09,A_09_17,Metal,2400,"-34.841135083001234,-56.24139217767415",129.368401550302,5.300477377
22085,A_DU_RM_CL_09,A_09_18,Metal,2400,"-34.84164350237886,-56.2405132427459",170.621105823941,4.0189300286
22086,A_DU_RM_CL_09,A_09_19,Metal,2400,"-34.84223773703794,-56.239483747503705",199.306646606848,3.4404988363
22087,A_DU_RM_CL_09,A_09_20,Metal,2400,"-34.842890429235254,-56.23819869977502",88.8163065376059,7.7205899732
